,발전량,일시,지점,지점명,기온(°C),강수량(mm),풍속(m/s),습도(%),전운량(10분위),미세먼지
1,0.0,2020-01-01 01:00,258.0,보성군,-3.3,0.0,6.8,41.0,0.0,1
2,0.0,2020-01-01 02:00,258.0,보성군,-3.3,0.0,3.2,37.0,0.0,1
3,0.0,2020-01-01 03:00,258.0,보성군,-3.1,0.0,4.8,56.0,0.0,1
4,0.0,2020-01-01 04:00,258.0,보성군,-3.4,0.0,3.1,50.0,0.0,1
5,0.0,2020-01-01 05:00,258.0,보성군,-2.8,0.0,2.8,59.0,5.0,1
6,0.0,2020-01-01 06:00,258.0,보성군,-1.9,0.0,3.4,61.0,10.0,1
7,0.0,2020-01-01 07:00,258.0,보성군,-1.2,0.0,3.7,61.0,8.0,1
8,8.1,2020-01-01 08:00,258.0,보성군,-1.6,0.0,4.2,65.0,0.0,1
9,27.2,2020-01-01 09:00,258.0,보성군,0.6,0.0,4.1,60.0,0.0,1
10,62.1,2020-01-01 10:00,258.0,보성군,2.8,0.0,5.6,53.0,3.0,1
11,74.5,2020-01-01 11:00,258.0,보성군,4.3,0.0,6.7,52.0,2.0,1
12,79.3,2020-01-01 12:00,258.0,보성군,5.2,0.0,6.4,50.0,1.0,1
14,68.3,2020-01-01 14:00,258.0,보성군,6.1,0.0,6.9,51.0,2.0,1
15,37.3,2020-01-01 15:00,258.0,보성군,5.7,0.0,6.9,51.0,1.0,1
16,8.7,2020-01-01 16:00,258.0,보성군,5.2,0.0,6.5,52.0,0.0,1
17,1.1,2020-01-01 17:00,258.0,보성군,4.4,0.0,5.0,55.0,2.0,1
18,0.0,2020-01-01 18:00,258.0,보성군,3.3,0.0,4.1,59.0,0.0,1
19,0.0,2020-01-01 19:00,258.0,보성군,2.9,0.0,3.6,59.0,0.0,1
20,0.0,2020-01-01 20:00,258.0,보성군,2.2,0.0,2.6,63.0,0.0,1
21,0.0,2020-01-01 21:00,258.0,보성군,1.2,0.0,2.1,69.0,0.0,1
22,0.0,2020-01-01 22:00,258.0,보성군,0.2,0.0,1.1,69.0,0.0,1
23,0.0,2020-01-01 23:00,258.0,보성군,-0.8,0.0,1.4,76.0,0.0,1
24,0.0,2020-01-02 00:00,258.0,보성군,-0.3,0.0,3.0,76.0,0.0,1
25,0.0,2020-01-02 01:00,258.0,보성군,-1.2,0.0,2.7,80.0,0.0,1
26,0.0,2020-01-02 02:00,258.0,보성군,-0.3,0.0,1.5,76.0,0.0,1
27,0.0,2020-01-02 03:00,258.0,보성군,0.0,0.0,3.6,75.0,0.0,1
28,0.0,2020-01-02 04:00,258.0,보성군,0.6,0.0,3.9,72.0,3.0,1
29,0.0,2020-01-02 05:00,258.0,보성군,0.7,0.0,4.1,73.0,0.0,1
30,0.0,2020-01-02 06:00,258.0,보성군,0.5,0.0,3.6,75.0,0.0,1
31,0.2,2020-01-02 07:00,258.0,보성군,0.9,0.0,3.2,74.0,0.0,1
32,5.2,2020-01-02 08:00,258.0,보성군,1.2,0.0,3.7,74.0,0.0,1
33,20.8,2020-01-02 09:00,258.0,보성군,2.6,0.0,3.0,69.0,2.0,1
34,50.6,2020-01-02 10:00,258.0,보성군,5.2,0.0,4.6,57.0,3.0,1
35,44.0,2020-01-02 11:00,258.0,보성군,6.2,0.0,5.5,53.0,3.0,1
36,66.2,2020-01-02 12:00,258.0,보성군,7.0,0.0,4.9,51.0,7.0,1
38,59.1,2020-01-02 14:00,258.0,보성군,9.0,0.0,5.6,48.0,0.0,1
39,31.4,2020-01-02 15:00,258.0,보성군,8.8,0.0,6.2,48.0,2.0,1
40,9.1,2020-01-02 16:00,258.0,보성군,8.0,0.0,6.6,48.0,1.0,1
43,0.0,2020-01-02 19:00,258.0,보성군,5.6,0.0,4.0,55.0,0.0,1
44,0.0,2020-01-02 20:00,258.0,보성군,3.4,0.0,2.4,66.0,0.0,1
45,0.0,2020-01-02 21:00,258.0,보성군,3.9,0.0,3.4,65.0,0.0,1
46,0.0,2020-01-02 22:00,258.0,보성군,3.1,0.0,3.0,68.0,0.0,0
47,0.0,2020-01-02 23:00,258.0,보성군,3.0,0.0,3.1,70.0,0.0,0
48,0.0,2020-01-03 00:00,258.0,보성군,3.6,0.0,3.0,69.0,1.0,1
49,0.0,2020-01-03 01:00,258.0,보성군,3.1,0.0,2.3,70.0,0.0,1
50,0.0,2020-01-03 02:00,258.0,보성군,2.5,0.0,2.5,71.0,5.0,1
51,0.0,2020-01-03 03:00,258.0,보성군,3.8,0.0,2.2,70.0,2.0,1
52,0.0,2020-01-03 04:00,258.0,보성군,4.8,0.0,4.0,68.0,6.0,1
53,0.0,2020-01-03 05:00,258.0,보성군,3.9,0.0,4.2,72.0,0.0,1
54,0.0,2020-01-03 06:00,258.0,보성군,3.5,0.0,4.0,75.0,0.0,1
55,0.1,2020-01-03 07:00,258.0,보성군,3.0,0.0,4.1,75.0,0.0,1
56,5.7,2020-01-03 08:00,258.0,보성군,2.1,0.0,3.8,80.0,0.0,1
57,20.8,2020-01-03 09:00,258.0,보성군,3.5,0.0,2.8,75.0,2.0,1
58,50.8,2020-01-03 10:00,258.0,보성군,6.1,0.0,3.4,61.0,2.0,1
59,61.5,2020-01-03 11:00,258.0,보성군,7.1,0.0,5.9,57.0,3.0,1
61,67.2,2020-01-03 13:00,258.0,보성군,8.9,0.0,5.3,52.0,0.0,1
62,55.0,2020-01-03 14:00,258.0,보성군,9.6,0.0,6.4,49.0,0.0,1
63,27.8,2020-01-03 15:00,258.0,보성군,9.4,0.0,6.2,48.0,0.0,1
68,0.0,2020-01-03 20:00,258.0,보성군,4.5,0.0,5.0,71.0,0.0,1
70,0.0,2020-01-03 22:00,258.0,보성군,2.1,0.0,1.5,76.0,0.0,1
71,0.0,2020-01-03 23:00,258.0,보성군,2.4,0.0,2.0,74.0,0.0,1
72,0.0,2020-01-04 00:00,258.0,보성군,2.8,0.0,2.3,74.0,0.0,0
73,0.0,2020-01-04 01:00,258.0,보성군,0.7,0.0,1.1,82.0,0.0,0
74,0.0,2020-01-04 02:00,258.0,보성군,0.5,0.0,1.8,83.0,0.0,0
75,0.0,2020-01-04 03:00,258.0,보성군,1.1,0.0,4.6,81.0,0.0,0
76,0.0,2020-01-04 04:00,258.0,보성군,0.9,0.0,4.1,80.0,4.0,0
77,0.0,2020-01-04 05:00,258.0,보성군,0.6,0.0,4.5,80.0,7.0,1
78,0.0,2020-01-04 06:00,258.0,보성군,0.8,0.0,4.7,79.0,9.0,1
79,0.0,2020-01-04 07:00,258.0,보성군,0.7,0.0,4.6,78.0,6.0,1
80,5.0,2020-01-04 08:00,258.0,보성군,1.0,0.0,3.7,76.0,8.0,1
81,16.2,2020-01-04 09:00,258.0,보성군,2.8,0.0,3.4,71.0,6.0,1
