지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),전운량(10분위)
258,보성군,2020-01-01 00:00,-3.5,,5.8,48,0
258,보성군,2020-01-01 01:00,-3.3,,6.8,41,0
258,보성군,2020-01-01 02:00,-3.3,,3.2,37,0
258,보성군,2020-01-01 03:00,-3.1,,4.8,56,0
258,보성군,2020-01-01 04:00,-3.4,,3.1,50,0
258,보성군,2020-01-01 05:00,-2.8,,2.8,59,5
258,보성군,2020-01-01 06:00,-1.9,,3.4,61,10
258,보성군,2020-01-01 07:00,-1.2,,3.7,61,8
258,보성군,2020-01-01 08:00,-1.6,,4.2,65,0
258,보성군,2020-01-01 09:00,.6,,4.1,60,0
258,보성군,2020-01-01 10:00,2.8,,5.6,53,3
258,보성군,2020-01-01 11:00,4.3,,6.7,52,2
258,보성군,2020-01-01 12:00,5.2,,6.4,50,1
258,보성군,2020-01-01 13:00,5.9,,5.8,49,
258,보성군,2020-01-01 14:00,6.1,,6.9,51,2
258,보성군,2020-01-01 15:00,5.7,,6.9,51,1
258,보성군,2020-01-01 16:00,5.2,,6.5,52,0
258,보성군,2020-01-01 17:00,4.4,,5,55,2
258,보성군,2020-01-01 18:00,3.3,,4.1,59,0
258,보성군,2020-01-01 19:00,2.9,,3.6,59,0
258,보성군,2020-01-01 20:00,2.2,,2.6,63,0
258,보성군,2020-01-01 21:00,1.2,,2.1,69,0
258,보성군,2020-01-01 22:00,.2,,1.1,69,0
258,보성군,2020-01-01 23:00,-.8,,1.4,76,0
258,보성군,2020-01-02 00:00,-.3,,3,76,0
258,보성군,2020-01-02 01:00,-1.2,,2.7,80,0
258,보성군,2020-01-02 02:00,-.3,,1.5,76,0
258,보성군,2020-01-02 03:00,0,,3.6,75,0
258,보성군,2020-01-02 04:00,.6,,3.9,72,3
258,보성군,2020-01-02 05:00,.7,,4.1,73,0
258,보성군,2020-01-02 06:00,.5,,3.6,75,0
258,보성군,2020-01-02 07:00,.9,,3.2,74,0
258,보성군,2020-01-02 08:00,1.2,,3.7,74,0
258,보성군,2020-01-02 09:00,2.6,,3,69,2
258,보성군,2020-01-02 10:00,5.2,,4.6,57,3
258,보성군,2020-01-02 11:00,6.2,,5.5,53,3
258,보성군,2020-01-02 12:00,7,,4.9,51,7
258,보성군,2020-01-02 13:00,8.3,,6,48,
258,보성군,2020-01-02 14:00,9,,5.6,48,0
258,보성군,2020-01-02 15:00,8.8,,6.2,48,2
258,보성군,2020-01-02 16:00,8,,6.6,48,1
258,보성군,2020-01-02 17:00,7.4,,7.1,50,
258,보성군,2020-01-02 18:00,6.4,,4.2,53,
258,보성군,2020-01-02 19:00,5.6,,4,55,0
258,보성군,2020-01-02 20:00,3.4,,2.4,66,0
258,보성군,2020-01-02 21:00,3.9,,3.4,65,0
258,보성군,2020-01-02 22:00,3.1,,3,68,0
258,보성군,2020-01-02 23:00,3,,3.1,70,0
258,보성군,2020-01-03 00:00,3.6,,3,69,1
258,보성군,2020-01-03 01:00,3.1,,2.3,70,0
258,보성군,2020-01-03 02:00,2.5,,2.5,71,5
258,보성군,2020-01-03 03:00,3.8,,2.2,70,2
258,보성군,2020-01-03 04:00,4.8,,4,68,6
258,보성군,2020-01-03 05:00,3.9,,4.2,72,0
258,보성군,2020-01-03 06:00,3.5,,4,75,0
258,보성군,2020-01-03 07:00,3,,4.1,75,0
258,보성군,2020-01-03 08:00,2.1,,3.8,80,0
258,보성군,2020-01-03 09:00,3.5,,2.8,75,2
258,보성군,2020-01-03 10:00,6.1,,3.4,61,2
258,보성군,2020-01-03 11:00,7.1,,5.9,57,3
258,보성군,2020-01-03 12:00,8.2,,6.9,55,
258,보성군,2020-01-03 13:00,8.9,,5.3,52,0
258,보성군,2020-01-03 14:00,9.6,,6.4,49,0
258,보성군,2020-01-03 15:00,9.4,,6.2,48,0
258,보성군,2020-01-03 16:00,9.6,,3.9,49,
258,보성군,2020-01-03 17:00,7.7,,4.4,57,
258,보성군,2020-01-03 18:00,5.7,,3.3,61,
258,보성군,2020-01-03 19:00,4.7,,3.7,66,
258,보성군,2020-01-03 20:00,4.5,,5,71,0
258,보성군,2020-01-03 21:00,3.8,,5,74,
258,보성군,2020-01-03 22:00,2.1,,1.5,76,0
258,보성군,2020-01-03 23:00,2.4,,2,74,0
258,보성군,2020-01-04 00:00,2.8,,2.3,74,0
258,보성군,2020-01-04 01:00,.7,,1.1,82,0
258,보성군,2020-01-04 02:00,.5,,1.8,83,0
258,보성군,2020-01-04 03:00,1.1,,4.6,81,0
258,보성군,2020-01-04 04:00,.9,,4.1,80,4
258,보성군,2020-01-04 05:00,.6,,4.5,80,7
258,보성군,2020-01-04 06:00,.8,,4.7,79,9
258,보성군,2020-01-04 07:00,.7,,4.6,78,6
258,보성군,2020-01-04 08:00,1,,3.7,76,8
258,보성군,2020-01-04 09:00,2.8,,3.4,71,6
258,보성군,2020-01-04 10:00,5,,3.2,68,8
258,보성군,2020-01-04 11:00,6.6,,3.4,62,6
258,보성군,2020-01-04 12:00,8.2,,4.1,56,4
258,보성군,2020-01-04 13:00,9.1,,6.2,51,0
258,보성군,2020-01-04 14:00,9.6,,6.8,48,0
258,보성군,2020-01-04 15:00,10,,5.5,47,0
258,보성군,2020-01-04 16:00,9.8,,4.7,46,0
258,보성군,2020-01-04 17:00,8.7,,5.5,50,0
258,보성군,2020-01-04 18:00,7.9,,4.6,52,0
258,보성군,2020-01-04 19:00,6.1,,3.2,59,1
258,보성군,2020-01-04 20:00,4,,2.5,69,9
258,보성군,2020-01-04 21:00,3.8,,1.6,71,7
258,보성군,2020-01-04 22:00,1.3,,2.4,79,0
258,보성군,2020-01-04 23:00,-.1,,1.9,88,0
258,보성군,2020-01-05 00:00,1.4,,3.3,84,4
258,보성군,2020-01-05 01:00,1.8,,3.9,82,0
258,보성군,2020-01-05 02:00,2.3,,3.3,79,0
258,보성군,2020-01-05 03:00,1.3,,2.5,82,0
258,보성군,2020-01-05 04:00,.6,,2.8,85,0
258,보성군,2020-01-05 05:00,.6,,3.4,82,0
258,보성군,2020-01-05 06:00,.9,,3.8,81,0
258,보성군,2020-01-05 07:00,-1.6,,1,87,0
258,보성군,2020-01-05 08:00,-2.6,,.5,91,0
258,보성군,2020-01-05 09:00,1.5,,2.9,73,2
258,보성군,2020-01-05 10:00,3.4,,1.5,69,0
258,보성군,2020-01-05 11:00,6.8,,2.1,42,0
258,보성군,2020-01-05 12:00,8,,1.5,39,0
258,보성군,2020-01-05 13:00,9,,2,38,0
258,보성군,2020-01-05 14:00,9.6,,2.1,34,
258,보성군,2020-01-05 15:00,10.2,,2.1,29,6
258,보성군,2020-01-05 16:00,9.1,,2.1,43,3
258,보성군,2020-01-05 17:00,7.1,,2.2,43,4
258,보성군,2020-01-05 18:00,5.3,,2.3,54,6
258,보성군,2020-01-05 19:00,4.5,,1.1,53,7
258,보성군,2020-01-05 20:00,3.4,,2.3,70,10
258,보성군,2020-01-05 21:00,2.7,,2.3,72,9
258,보성군,2020-01-05 22:00,3.2,,1.1,71,10
258,보성군,2020-01-05 23:00,3.2,,.6,70,3
258,보성군,2020-01-06 00:00,3.3,,1.6,74,8
258,보성군,2020-01-06 01:00,3.8,,2.2,70,10
258,보성군,2020-01-06 02:00,3.9,,1.5,74,9
258,보성군,2020-01-06 03:00,4.5,,1.9,68,10
258,보성군,2020-01-06 04:00,4.2,,1.7,74,7
258,보성군,2020-01-06 05:00,4.6,,2.1,72,9
258,보성군,2020-01-06 06:00,4.9,,.8,72,10
258,보성군,2020-01-06 07:00,4.5,,.7,84,10
258,보성군,2020-01-06 08:00,4.7,,2.2,88,10
258,보성군,2020-01-06 09:00,5.1,.4,.3,94,10
258,보성군,2020-01-06 10:00,5.8,,.9,95,10
258,보성군,2020-01-06 11:00,8,,1.7,75,10
258,보성군,2020-01-06 12:00,7.9,.2,2.3,81,10
258,보성군,2020-01-06 13:00,7.8,,2.2,86,
258,보성군,2020-01-06 14:00,7.4,,2.6,95,10
258,보성군,2020-01-06 15:00,7.5,3.8,3.1,97,10
258,보성군,2020-01-06 16:00,7.9,,2.8,95,10
258,보성군,2020-01-06 17:00,7.7,,3.2,96,10
258,보성군,2020-01-06 18:00,7.7,3.5,2.4,96,10
258,보성군,2020-01-06 19:00,7.8,,2.7,96,10
258,보성군,2020-01-06 20:00,7.8,,3.1,97,10
258,보성군,2020-01-06 21:00,8,4.2,3.5,98,10
258,보성군,2020-01-06 22:00,7.9,,2.5,99,10
258,보성군,2020-01-06 23:00,8.2,,2.7,99,2
258,보성군,2020-01-07 00:00,8.4,7.2,2.2,99,10
