,지역명,지역번호
0,가능동,2002828
1,고강동,2331719
2,고등동,1849951
3,고양시,498
4,고잔동,2331679
5,관양동,1849887
6,광명동,2332418
7,광명시,223645
8,광주시,223637
9,괴안동,2331727
10,구리시,223644
11,군포시,223643
12,권선구,2330404
13,권선동,1849958
14,금광동,1849797
15,금오동,2331756
16,금정동,1849924
17,기흥구,2330403
18,김포시,223636
19,남양주시,223649
20,내동,1830301
21,내손동,1849904
22,다산1동,35581473
23,단대동,1849787
24,단원구,2330400
25,당동,1850118
26,당정동,2332416
27,대화동,2331644
28,덕양구,2330401
29,도당동,1316342
30,동두천시,223651
31,동안구,2330402
32,마두동,2331655
33,만안구,2330407
34,매교동,1849955
35,매산로3가,33542383
36,매탄동,1849954
37,박달동,1849891
38,본오동,2331688
39,부곡동,3558153
40,부천시,223671
41,북수동,3354234
42,분당구,2330398
43,비산동,1850027
44,상록구,2330410
45,성남시,223672
46,수원시,223670
47,수정구,2330412
48,수지구,2330413
49,시흥시,223647
50,안산시,223641
51,안성시,223632
52,안양동,2332419
53,안양시,223640
54,양주시,2330414
55,양평군,1315396
56,여주시,223656
57,영통구,2330415
58,오산동,2331635
59,오산시,223634
60,오정동,1830335
61,용인시,223639
62,의왕시,223635
63,의정부시,223648
64,이천시,223642
65,인계동,1849952
66,일산동,2331650
67,일산동구,2330405
68,일산서구,1830372
69,작동,2331723
70,장안구,223657
71,장암동,2002771
72,정발산동,1830386
73,정왕동,2331623
74,정자동,2331760
75,정자동,1849939
76,조원동,1849938
77,주엽동,2331646
78,중동,2331742
79,중앙동,2331762
80,중원구,2330406
81,지동,2331766
82,처인구,2330399
83,철산동,2331712
84,초지동,2331674
85,춘의동,2331743
86,파장동,1849935
87,파주시,223659
88,팔달구,2330408
89,평택시,223646
90,포천시,2330409
91,하남시,223633
92,하대원동,1849805
93,하안동,2331708
94,행신동,1830441
95,호계동,1849920
96,호원동,2002732
97,화서동,1849948
98,화성시,223650
99,화정동,1830450
