,지역명,지역번호
0,가음동,3367265
1,가음정동,2330582
2,가좌동,3367433
3,거제시,223797
4,거창군,223804
5,거창읍,2332339
6,경화동,1319537
7,고성군,223810
8,고현동,2330603
9,교방동,2330568
10,교원동,3367268
11,구산동,3367709
12,구암동,223825
13,김해시,223799
14,남해군,223858
15,내외동,3430446
16,다방동,3367986
17,대동면,1316633
18,대산면,2330589
19,대성동,3367708
20,대안동,3367425
21,대외동,3367273
22,대원동,3367189
23,도계동,3367177
24,도천동,2330640
25,동면,2330600
26,동상동,2330622
27,동성동,3367423
28,동정동,2330588
29,두대동,3367181
30,마산합포구,2330419
31,마산회원구,223800
32,밀양시,223793
33,반계동,3367186
34,반림동,3367264
35,반송동,3369268
36,반월중앙동,3558155
37,반지동,3367263
38,본성동,3367422
39,봉곡동,2330660
40,봉곡동,3367193
41,봉래동,2330657
42,봉암동,2330553
43,봉황동,1320758
44,부원동,2330621
45,북부동,3430438
46,북부동,3367988
47,북신동,2045035
48,북정동,1640277
49,사천시,223795
50,산청군,223805
51,삼정동,2330618
52,상남동,223788
53,석전동,2330561
54,성산구,2330420
55,아양동,1321750
56,아주동,2330605
57,안동,3367717
58,양덕동,2330558
59,양산시,223801
60,어방동,3367716
61,의령군,223851
62,의창구,2330421
63,이동,1320510
64,이현동,2330649
65,인사동,3367403
66,인사동,3367424
67,자은동,2330546
68,장군동5가,33672983
69,장대동,2330661
70,장평동,1321775
71,중앙동,2330583
72,진주시,223798
73,진해구,223792
74,창녕군,223802
75,창동,3367302
76,창선동,3367390
77,창원시,223791
78,천전동,3429884
79,초전동,2330651
80,초전리,3367751
81,추산동,3367307
82,충무동,2330551
83,칠암동,2330663
84,통영시,223796
85,팔용동,3367194
86,하대동,2330653
87,하동군,223803
88,함안군,223820
89,함양군,223808
90,합성동,2330556
91,합천군,223821
92,항남동,1797397
93,해운동,3367310
94,현동,2330552
95,호탄동,2330647
96,홍문동,3367311
97,활천동,3430443
98,회원동,2330563
99,흥동,3367711
