,지역명,지역번호
0,건천읍,2330862
1,경산시,223678
2,경주시,223681
3,계양동,3365759
4,고령군,223726
5,고산1동,20468923
6,고아읍,2330811
7,공단동,2042723
8,광석동,3364823
9,광평동,2042624
10,괴동동,3364287
11,구미시,223680
12,군위군,223730
13,금곡동,3364828
14,김천시,223673
15,남구,2330418
16,당북동,3364824
17,대도동,2330872
18,대석동,3364821
19,대송면,2330879
20,대잠동,2330873
21,도량동,2042634
22,동부동,3364815
23,동부동,3430323
24,동부동,3430403
25,동천동,2330848
26,동촌동,2330875
27,득량동,3364385
28,모암동,2330831
29,문경시,223674
30,봉화군,223694
31,북구,2330416
32,상주시,223676
33,서상동,3365750
34,선산읍,223758
35,선주원남동,3430297
36,성내동,3364659
37,성주군,223756
38,송내동,3364286
39,송도동,2330876
40,송정동,2042627
41,송정동,3364285
42,시미동,3365015
43,신상리,3365784
44,신음동,2042522
45,신평동,2042727
46,안강읍,223683
47,안동시,223679
48,안흥동,3364820
49,압량면,2330752
50,양포동,3430294
51,연일읍,223775
52,영덕군,223692
53,영주동,2330795
54,영주시,223677
55,영천시,223675
56,예천군,223691
57,왜관리,3366771
58,왜관읍,223695
59,용강동,2330850
60,용덕리,3364325
61,용상동,2330817
62,용흥동,2330869
63,우창동,3430310
64,운흥동,3364816
65,울진군,223690
66,원리,3364316
67,원평동,2042732
68,의성군,223693
69,인덕동,3364289
70,인동동,3430304
71,인의동,223720
72,일월동,3364284
73,임수동,3365016
74,임은동,2330806
75,장흥동,3364288
76,죽도동,2330863
77,중리,3366787
78,중방동,2330745
79,중산동,2330744
80,지산동,2042642
81,진량읍,2330755
82,진평동,2330804
83,청도군,223699
84,청림동,1321410
85,청송군,223700
86,칠곡군,2330417
87,태화동,2330816
88,포항시,223682
89,하망동,2330796
90,하양읍,223776
91,해도동,2330871
92,형곡동,2042730
93,호동,3364290
94,황남동,2330844
95,황성동,2330849
96,황오동,2330845
97,효곡동,3430314
98,휴천동,2330793
99,흥해읍,223712
