,지역명,지역번호
0,각화동,2331837
1,건국동,3430436
2,계림동,1907218
3,광산구,2330395
4,광산동,3354006
5,광주광역시,223627
6,광천동,2331870
7,구동,3354019
8,궁동,3354004
9,금남로1가,33540153
10,금남로2가,33540163
11,금남로3가,33540173
12,금남로4가,33540183
13,금남로5가,33540013
14,금동,3354007
15,금호2동,23318603
16,금호동,2331861
17,남구,2330396
18,내방동,1319131
19,농성동,2331872
20,누문동,2331846
21,대의동,1907139
22,대인동,3354000
23,대촌동,3354034
24,덕흥동,2331869
25,도산동,1316025
26,도천동,2331820
27,도호동,1906701
28,동구,2330394
29,동림동,2331840
30,동명동,1907220
31,동천동,2331859
32,두암2동,23318343
33,두암3동,23318333
34,두암동,2331835
35,마륵동,1906678
36,문흥동,1319218
37,방림동,2331858
38,백운동,1318568
39,봉선1동,34305243
40,봉선2동,23318493
41,봉선동,2331850
42,북구,2330393
43,북동,1907015
44,불로동,3354009
45,사동,2331856
46,산수동,2331880
47,산정동,3354038
48,삼각동,2331832
49,상무1동,23318683
50,서구,2330397
51,서동,3354020
52,서석동,2331877
53,소촌동,1317213
54,송정동,223623
55,송하동,1906987
56,수기동,3354003
57,수완동,2331817
58,신안동,1907011
59,신창동,1317400
60,신촌동,2331828
61,쌍암동,2331819
62,쌍촌동,1906979
63,양동,1906992
64,양림동,1907140
65,양산동,3354028
66,어룡동,3430510
67,오룡동,3354035
68,오선동,1318483
69,오치동,1318833
70,용봉동,2331844
71,우산동,2331839
72,우산동,1315768
73,운암동,2331843
74,월계동,1315649
75,월곡동,2331826
76,월산동,1907001
77,유동,1907012
78,일곡동,1320489
79,임동,2331845
80,장덕동,1321869
81,주월동,1907006
82,중흥동,1321182
83,지산동,1907222
84,진월동,1321626
85,첨단1동,34304493
86,첨단2동,34304663
87,충장로1가,19070183
88,충장로2가,33540123
89,충장로3가,33540133
90,충장로4가,33540143
91,충장로5가,33540023
92,치평동,2331863
93,풍암동,2331862
94,풍향동,2331838
95,학동,1320928
96,호남동,3354008
97,화정동,1906998
98,황금동,3354010
99,효덕동,3430533
