,지역명,지역번호
0,각산동,3353909
1,갈산동,1636439
2,감삼동,2332022
3,검단동,1320042
4,검사동,1316176
5,계산동2가,33538883
6,고산2동,34303913
7,고산3동,34303813
8,고성동3가,33539283
9,관문동,3430335
10,관음동,2332047
11,구라리,2046158
12,구암동,2332045
13,남구,2330385
14,남산동,2332108
15,내당동,2332089
16,노곡동,1318949
17,노변동,3353939
18,노원동1가,23320443
19,노원동2가,33539293
20,노원동3가,33539303
21,논공읍,2046248
22,달서구,2330382
23,달성군,2330383
24,대곡동,1319342
25,대구광역시,223347
26,대명동,2046075
27,대봉동,2046177
28,대신동,2332109
29,대천동,3353943
30,대현동,2332041
31,도원동,1316017
32,동구,223346
33,동산동,3353889
34,동인동3가,33538553
35,동인동4가,33538563
36,동천동,2332043
37,두류동,2332008
38,두산동,2332028
39,만촌1동,34303573
40,만촌동,1319431
41,매천동,1319505
42,매호동,3353936
43,무태조야동,3430333
44,방촌동,1318463
45,범어동,2332040
46,복현2동,23320513
47,복현동,2332052
48,본동,2332013
49,본리동,1637551
50,봉덕동,2332072
51,봉무동,1318095
52,북구,2330381
53,북리,2046250
54,북성로1가,33538993
55,불로.봉무동,3430336
56,불로동,3353904
57,비산동,2332086
58,산격동,2332056
59,삼덕동2가,33538573
60,삼덕동3가,33538583
61,상인동,1317679
62,서구,2330386
63,성당동,2332009
64,송현동,2332015
65,수성1가동,23320343
66,수성4가동,23320323
67,수성구,2330387
68,수성동2가,33539353
69,신암동,2332102
70,신천동,1807389
71,안심1동,34303563
72,안심3.4동,343035533
73,용산동,2332012
74,읍내동,2332048
75,이곡1동,34303643
76,이곡동,2332020
77,이천동,1636506
78,이현동,2332074
79,입석동,1320416
80,장기동,1321856
81,장동,3353941
82,죽전동,2332021
83,중구,2330384
84,중동,2332029
85,중리동,3353923
86,지산동,1321591
87,지저동,2332093
88,진천동,2332018
89,천내리,3353945
90,칠성동1가,23320603
91,칠성동2가,33539263
92,침산동,2332059
93,파동,1318584
94,팔달동,3353933
95,평리동,2332080
96,호산동,2046129
97,화원읍,2046178
98,황금동,2332031
99,효목동,1320548
