,지역명,지역번호
0,가양동,2041991
1,가오동,2041901
2,가장동,2041848
3,갈마2동,20419943
4,갈마동,2041993
5,관저2동,23318123
6,관저동,2041658
7,관평동,2041813
8,괴정동,1315373
9,구성동,2042017
10,구암동,2041690
11,구즉동,3430263
12,궁동,2041694
13,내동,2041839
14,노은2동,23318103
15,노은3동,34298813
16,노은동,2041699
17,대덕구,2330388
18,대동,2041996
19,대사동,2041852
20,대전광역시,223352
21,대화동,2042043
22,대흥동,2041905
23,덕암동,2041809
24,도룡동,2041830
25,도마2동,20419993
26,도마동,2041998
27,동구,2330389
28,둔산2동,20420013
29,둔산동,2042000
30,만년동,2041831
31,목동,2041842
32,문창동,2042002
33,문평동,3354065
34,문화동,2042003
35,반석동,1617995
36,방현동,2041821
37,법1동,34302723
38,법2동,20420063
39,법동,2042005
40,변동,2041849
41,복수동,1617971
42,복용동,1315520
43,봉명동,2041686
44,봉산동,2041804
45,부사동,2041898
46,비래동,2041933
47,사정동,1317870
48,산성동,2041854
49,삼성동,2041843
50,상서동,2041815
51,서구,2330391
52,석교동,2041899
53,선화동,3354061
54,성남동,2041916
55,소제동,2041915
56,송강동,2041811
57,송촌동,2041927
58,신성동,2041700
59,신일동,2041806
60,신탄진동,223349
61,신흥동,2331814
62,어은동,2041828
63,오류동,2041846
64,오정동,2041835
65,온천1동,34302763
66,온천2동,34302743
67,외삼동,2041715
68,용두동,2042018
69,용문동,2041840
70,용운동,2041908
71,용전동,2041926
72,원내동,223350
73,원동,3354056
74,월평3동,20420213
75,월평동,223348
76,유성구,1315057
77,유천동,2042022
78,은행동,2041845
79,인동,2041906
80,자양동,2041907
81,장대동,2041693
82,장동,2041827
83,정동,2042013
84,죽동,2041701
85,중구,2330390
86,중동,3354058
87,중리동,2042042
88,중촌동,2041841
89,진잠동,3430284
90,천동,2041900
91,추목동,2041723
92,탄방동,2041837
93,탑립동,2041824
94,태평2동,20420253
95,태평동,2042024
96,판암동,2041904
97,평촌동,2041963
98,학하동,2041684
99,효동,2042045
