,지역명,지역번호
0,가야동,1905325
1,감만동,222870
2,감전동,2332116
3,감천동,222859
4,강서구,222858
5,개금동,2332205
6,거제동,2332135
7,광안동,1319653
8,괘법동,1319678
9,괴정동,1905530
10,구서동,1637814
11,구평동,1905531
12,구포동,1319727
13,금정구,222849
14,기장군,222862
15,낙민동,2332199
16,남구,222883
17,남부민동,1905541
18,남산동,2332142
19,남천동,2332124
20,남항동1가,23322223
21,노포동,3353818
22,당감동,2332211
23,대연동,2332191
24,덕천동,2332173
25,동구,2330369
26,동대신1동,19055453
27,동래구,222878
28,만덕동,1637616
29,망미동,1905390
30,명륜동,2332192
31,명장동,1319156
32,명지2동,35581573
33,모라동,1905324
34,문현동,2332179
35,민락동,1319354
36,반여동,1673853
37,범일동,2332226
38,범전동,2332215
39,범천동,2332202
40,보수동1가,23322473
41,부곡동,1673919
42,부산광역시,222888
43,부산진구,222852
44,부암동,1905327
45,부전동,1905331
46,북구,222850
47,사상구,222851
48,사직2동,23321973
49,사직동,1905328
50,사하구,222855
51,삼락동,262
52,서구,222854
53,서대신동1가,23322413
54,서대신동2가,23322393
55,서대신동3가,23322403
56,수민동,3430468
57,수안동,3353815
58,수영구,222856
59,수영동,1316701
60,수정동,2332232
61,신선동1가,19055523
62,신선동2가,33538093
63,신선동3가,33538103
64,신평동,222874
65,아미동2가,33537963
66,안락동,2332195
67,양정동,1905381
68,연산9동,23321253
69,연산동,1905387
70,연제구,2330371
71,연지동,1905329
72,영도구,222848
73,영선동1가,19055493
74,영선동2가,33538073
75,영선동3가,23322213
76,영선동4가,33538083
77,온천3동,23321983
78,온천동,1318678
79,용당동,1905584
80,용호1동,34305273
81,용호동,1905392
82,우2동,23321653
83,우3동,34298873
84,우동,2332166
85,우암동,2332181
86,장림동,222872
87,장전동,1321817
88,재송동,1905391
89,전포동,1905382
90,좌동,2332158
91,중구,2330370
92,중동,1905394
93,토성동1가,19055433
94,토성동2가,33537943
95,토성동3가,33537953
96,하단동,1905491
97,학장동,222867
98,해운대구,222857
99,화명동,1637813
