,지역명,지역번호
0,가락동,226078
1,가리봉동,2332271
2,가산동,2332268
3,가양동,2332290
4,갈현동,2332325
5,강남구,226001
6,강동구,226006
7,강북구,2330434
8,강서구,2330435
9,개봉동,2332269
10,개포동,1849782
11,고덕동,2002445
12,고척동,1830092
13,공덕동,226051
14,공릉동,2002558
15,관악구,2330438
16,광장동,225883
17,광진구,2330439
18,구로구,2330437
19,구로동,2332280
20,구산동,1876577
21,구의동,226072
22,군자동,226069
23,금천구,2330436
24,금호1가동,2260583
25,금호동3가,33536923
26,길동,2002349
27,길음동,226017
28,노원구,2330441
29,답십리동,226066
30,대림동,1849832
31,대방동,2002264
32,대조동,2002609
33,대치동,226075
34,대현동,3353719
35,대흥동,225969
36,도곡동,1849838
37,도림동,2002257
38,도봉구,2330432
39,도봉동,2002750
40,도화동,226049
41,독산동,1316238
42,돈암동,226021
43,동대문구,226004
44,동소문동5가,33536963
45,동작구,2330433
46,동작동,3353755
47,둔촌동,2002300
48,등촌동,2332299
49,마포구,226010
50,면목동,225903
51,목동,2332318
52,미아동,225893
53,반포동,226061
54,방배동,1850033
55,방이동,226073
56,방학동,2002720
57,방화동,2332286
58,번동,2002661
59,봉천동,225877
60,북가좌동,226024
61,북아현동,226038
62,불광동,2002619
63,상계동,2002749
64,서대문구,226002
65,서울특별시,226081
66,서초구,2330442
67,성동구,226005
68,성북구,2330443
69,송파구,2330444
70,신림동,1317453
71,신월동,2332314
72,신정동,2332307
73,쌍문동,2002697
74,아현동,225833
75,안암동5가,2260233
76,암사동,1322054
77,압구정동,1321997
78,양천구,1830319
79,영등포구,226009
80,용산구,226008
81,월계동,2002622
82,은평구,226080
83,응암동,226012
84,종로구,226003
85,중구,226007
86,중랑구,2330440
87,창동,225846
88,창천동,3353720
89,천호동,1321358
90,청담동,226065
91,청량리동,225838
92,하계동,2002662
93,하왕십리동,2002432
94,하월곡동,2002589
95,한남동,2002351
96,행당동,225857
97,홍은동,2002497
98,화곡동,2332283
99,흑석동,225874
