,지역명,지역번호
0,가람동,2041566
1,갈산리,3354182
2,감성리,2041731
3,고등리,3354220
4,고복리,1618644
5,고운동,3354145
6,관정리,3354205
7,교리,3354151
8,국곡리,2041591
9,국촌리,3354197
10,금남면,2330450
11,금사리,1319787
12,금암리,1318815
13,금천리,1618479
14,금호리,1319822
15,기룡리,3354195
16,나성동,2041551
17,남곡리,2041758
18,남리,3354154
19,내판리,3354170
20,노곡리,1320826
21,다방리,3354210
22,다솜리,3354177
23,다정동,2041552
24,달전리,2041738
25,달전리,1618643
26,대곡리,3354219
27,대교리,2041547
28,대박리,2041768
29,대평동,1316537
30,도계리,1618485
31,도남리,2041581
32,도담동,3354147
33,도암리,2041728
34,동교리,3354201
35,두만리,1315981
36,등곡리,2041779
37,명리,3354153
38,명학리,3354172
39,문곡리,3354183
40,문주리,3354171
41,미곡리,1321424
42,박산리,2041785
43,반곡동,2041772
44,발산리,2041746
45,번암리,3354158
46,보덕리,3354214
47,보람동,3354143
48,보통리,3354163
49,봉대리,3354211
50,봉산리,3354160
51,봉안리,2041549
52,봉암리,3354199
53,봉암리,2041592
54,부강리,3354179
55,부강면,1318147
56,부동리,3354198
57,부용리,2041776
58,서창리,3354161
59,세종리,3354165
60,세종시,2330368
61,송성리,1319260
62,신방리,3354207
63,신안리,3354159
64,신흥리,3354156
65,아름동,3354146
66,어진동,2041771
67,연기면,1315235
68,연동면,2330452
69,연서면,2330451
70,용포리,2041744
71,원리,3354148
72,원성리,3354203
73,월하리,3354190
74,은용리,2041561
75,읍내리,3354200
76,응암리,3354173
77,장군면,2330457
78,장재리,1618477
79,전동면,2330449
80,전의면,223168
81,정리,3354152
82,조치원읍,223150
83,종촌동,3354144
84,죽림리,3354157
85,집현리,2041774
86,청라리,3354194
87,청람리,3354216
88,청송리,3354212
89,축산리,2041726
90,침산리,3354155
91,평리,3354150
92,하봉리,2039885
93,한별리,3354167
94,한솔동,2330455
95,합강리,3354176
96,해밀리,3354169
97,행산리,3354180
98,호탄리,2041759
99,황용리,2041766
