,지역명,지역번호
0,강동동,3430412
1,개곡리,3354119
2,고사동,1319973
3,교동,2331799
4,교동리,1639524
5,굴화리,1319720
6,남구,2330446
7,남목1동,34304223
8,남목2동,23317873
9,남목3동,34304213
10,남외동,226450
11,농소1동,34304113
12,농소2동,34304103
13,농소3동,34304133
14,다운동,2331802
15,달동,2331794
16,당월리,1640290
17,대송동,1640299
18,대정리,3354092
19,대현동,3430424
20,덕신리,1640289
21,동구,226448
22,동동,3354071
23,동부동,2331786
24,매암동,1319108
25,명촌동,3354084
26,무거동,2331792
27,미포동,1319346
28,반구1동,34304193
29,반구2동,23318073
30,반구동,2331808
31,방도리,1318458
32,방어동,2331788
33,범서읍,2331777
34,병영1동,34304153
35,병영2동,34304143
36,복산2동,23318053
37,복산동,2331806
38,부곡동,3354075
39,북구,226439
40,북정동,2331804
41,산암리,3354091
42,삼남면,2331772
43,삼산동,2331793
44,삼호동,1639579
45,상개동,1317714
46,상남리,1640286
47,서동,3354072
48,서부동,1639483
49,선암동,2331789
50,성남동,3354068
51,성안동,3354069
52,성암동,3354076
53,수암동,2331790
54,신정1동,34304233
55,신정2동,23317983
56,신정3동,23317973
57,신정4동,23317963
58,신정동,1673850
59,신천동,3354080
60,야음동,2331791
61,야음장생포동,3430425
62,약사동,2331800
63,양정동,1315410
64,언양읍,2331778
65,여천동,3354074
66,연암동,3354086
67,염포동,2331780
68,옥교동,3354067
69,옥동,1639583
70,온산읍,2331779
71,온양읍,226443
72,용암리,1640288
73,용연동,3354077
74,용잠동,226449
75,우정동,2331803
76,울산광역시,226451
77,울주군,2330447
78,원산리,1316689
79,일산동,1320484
80,장생포동,1315382
81,전하1동,34304263
82,전하2동,23317853
83,전하동,1321359
84,중구,2330445
85,중앙동,3430420
86,진장동,3354085
87,창평동,2331784
88,처용리,1320926
89,청량읍,2331776
90,태화동,226446
91,학남리,3354094
92,학산동,3354066
93,학성동,2331809
94,호계동,226442
95,화봉동,3354087
96,화산리,1673852
97,화정동,1320632
98,황성동,1316930
99,효문동,1639479
