,지역명,지역번호
0,가정동,1830066
1,가좌동,1830067
2,간석1동,34301133
3,간석3동,23319503
4,간석4동,23319493
5,간석동,2331952
6,갈산동,1830071
7,강화군,224031
8,검단동,3429959
9,검암경서동,3429998
10,계산동,1319565
11,계양2동,34300213
12,계양3동,34298583
13,계양구,1830087
14,고잔동,2331938
15,관교동,2331971
16,구산동,3353990
17,구월1동,34301203
18,구월2동,23319553
19,구월동,2331956
20,남동구,2330425
21,남촌동,2331941
22,논현1동,34301403
23,논현2동,23319393
24,논현고잔동,3430146
25,논현동,2331940
26,도림동,1647280
27,도원동,2332003
28,도화동,2331980
29,동구,2330423
30,동춘동,2331961
31,만석동,2331996
32,만수6동,23319433
33,만수동,2331948
34,문학동,1319222
35,미추홀구,224030
36,방축동,2331915
37,병방동,1830212
38,부개3동,23319263
39,부개동,2331928
40,부평1동,34300833
41,부평구,2330422
42,부평동,1830219
43,북성동1가,23320003
44,산곡2동,23319323
45,산곡3동,23319313
46,산곡동,1830231
47,삼산1동,34300503
48,삼산2동,23319223
49,삼산동,1830233
50,서구,2330426
51,서운동,2331917
52,서창동,1316457
53,석남동,2331909
54,선학동,2331966
55,송도1동,34298703
56,송도2동,34298683
57,송도동,2331957
58,송림동,224029
59,송현동,2331993
60,수산동,1316027
61,숭의동,2331970
62,신현동,2331899
63,신현원창동,3430054
64,신흥동3가,33539753
65,십정2동,23319233
66,십정동,2331924
67,연수구,2330427
68,연수동,2331965
69,영종1동,35581563
70,영종동,3429864
71,옥련동,2331967
72,용종동,1830344
73,용현5동,23319823
74,용현동,2331969
75,원창동,1830270
76,인천광역시,224032
77,인현동,3353980
78,일신동,2331925
79,작전1동,34300393
80,작전2동,23319183
81,작전동,1830374
82,작전서운동,3430040
83,장수동,2331942
84,장수서창동,3430123
85,주안동,2331979
86,중구,2330424
87,청라1동,34298613
88,청라2동,34298633
89,청라동,3557894
90,청천2동,23319293
91,청천동,1321463
92,청학동,2331962
93,학익1동,34301303
94,학익동,1320948
95,항동7가,16472753
96,화수동,2331995
97,효성1동,34300353
98,효성2동,23319213
99,효성동,1830455
