,지역명,지역번호
0,경원동1가,33601683
1,경원동2가,33601693
2,경원동3가,33601703
3,경장동,3360214
4,고사동,3360179
5,고창군,223089
6,교동,3360180
7,군산시,223083
8,금암동,2036960
9,김제시,223079
10,나운2동,23311723
11,나운3동,23311703
12,나운동,2331173
13,남노송동,2036950
14,남원시,223081
15,남중동,1319012
16,다가동1가,33601753
17,다가동2가,33601763
18,다가동3가,33601773
19,덕진구,223077
20,덕진동1가,20370333
21,덕진동2가,13210073
22,동산동,2331166
23,동서학동,2036962
24,동완산동,2036963
25,마동,2037061
26,모현동,3430327
27,모현동1가,23311653
28,문화동,1789014
29,봉동읍,223091
30,부송동,2037052
31,부안군,223086
32,산북동,2331171
33,삼례읍,223111
34,삼성동,3430315
35,삼천동1가,20369643
36,삼학동,2331176
37,상동,3360418
38,서노송동,2036966
39,서서학동,2036947
40,서신동,2037156
41,서완산동1가,20369673
42,서완산동2가,33601813
43,서흥남동,3360213
44,소룡동,2036789
45,송천1동,34303683
46,송천2동,34303583
47,송천동1가,20369683
48,송학동,1317017
49,수성동,2331148
50,수송동,1316711
51,순창군,223112
52,시기동,2331146
53,신동,1317310
54,신흥동,3360302
55,어양동,2331161
56,여의동,223076
57,연지동,1315046
58,영등1동,34303283
59,영등동,2331164
60,오산면,1318763
61,완산구,2330429
62,완주군,2330428
63,우아동3가,33601833
64,익산시,223082
65,인화동1가,20412443
66,인후3동,20369823
67,인후동1가,20369803
68,인후동2가,20369813
69,임실군,223097
70,전동,3360173
71,전동3가,33601743
72,전주시,223078
73,정읍시,223080
74,조촌동,1789011
75,주현동,3360299
76,중노송동,2036970
77,중앙동1가,20371573
78,중앙동2가,33601653
79,중앙동3가,33601663
80,중앙동4가,33601673
81,중앙로2가,33602033
82,중화산1동,20369713
83,중화산2동,20369723
84,진북동,2331186
85,진안군,223084
86,창인동1가,33602943
87,태평동,2036983
88,팔복동1가,20370293
89,팔복동2가,20370303
90,팔복동3가,20370313
91,평화1동,20372073
92,평화2동,34304073
93,평화동2가,20369843
94,풍남동1가,20369853
95,풍남동3가,33601723
96,효자4동,20369783
97,효자동1가,20369753
98,효자동2가,20369763
99,효자동3가,20369773
