,지역명,지역번호
0,가시리,3369264
1,가파리,3369228
2,감산리,3369254
3,강정동,1320262
4,건입동,2330463
5,구좌읍,224213
6,귀덕리,3369160
7,금능리,3369172
8,금등리,3369214
9,금성리,3369187
10,금악리,3369164
11,김녕리,3369200
12,남원읍,1318993
13,노형동,2330462
14,대륜동,3430606
15,대림리,3369162
16,대서리,3369220
17,대정읍,224214
18,대천동,3430604
19,대포동,1316545
20,대흘리,3369206
21,덕수리,3369256
22,덕천리,3369193
23,도남동,1316191
24,도두동,3430597
25,도두이동,1316331
26,도두일동,1820880
27,도련이동,1821293
28,도련일동,1316035
29,도순동,1316023
30,도평동,1316056
31,동광리,3369258
32,동명리,3369165
33,동복리,3369192
34,동일리,3369230
35,동홍동,2330459
36,두모리,3369216
37,법환동,1318167
38,보목동,1820821
39,보성리,3369231
40,봉개동,1606937
41,봉성리,3369188
42,북촌리,3369207
43,삼도1동,18213153
44,삼도2동,23304653
45,삼양동,3430595
46,삼양삼동,3369154
47,삼양이동,3369153
48,삼양일동,1317783
49,상모리,1606759
50,서귀동,1820822
51,서귀포시,224210
52,서호동,1606944
53,서홍동,1317163
54,성산읍,685
55,수원리,3369161
56,신효동,1317332
57,아라동,3430601
58,아라이동,3369155
59,아라일동,1321970
60,안덕면,2330461
61,안성리,3369226
62,애월리,3369183
63,애월읍,224211
64,어음리,3369185
65,연동,1820864
66,오라동,3430598
67,오라삼동,3369157
68,오라이동,3369156
69,오라일동,1821281
70,옹포리,3369167
71,외도동,3430600
72,용담1동,18213133
73,용담2동,23304643
74,용담삼동,1806450
75,이도1동,18212723
76,이도2동,23304663
77,이호이동,3369159
78,이호일동,1820875
79,일도1동,18212753
80,일도2동,23304673
81,제주시,224209
82,조천읍,1321564
83,중문동,1321160
84,창천리,3369253
85,천지동,1820820
86,청수리,3369211
87,추자면,2330469
88,토평동,1316053
89,표선면,2330460
90,하례리,1320823
91,하모리,3369225
92,하효동,1820825
93,한경면,1606768
94,한림리,3369163
95,한림읍,224212
96,호근동,1320738
97,화북동,3430596
98,화북이동,3369152
99,화북일동,1320658
