,지역명,지역번호
0,계룡시,2330378
1,공주시,223143
2,교동,3358372
3,구성동,2007621
4,권곡동,2331260
5,금산군,223152
6,금산읍,2332391
7,금성동,2039539
8,논산시,223145
9,다가동,2331284
10,당진1동,34302243
11,당진2동,34302253
12,당진시,223184
13,대교동,3358891
14,대덕동,1316314
15,대산읍,2331256
16,대천1동,34302793
17,대천3동,23312683
18,대천4동,23312673
19,대천동,223144
20,대회리,3359933
21,대흥동,3358215
22,동남구,2330377
23,동대동,1316652
24,동문동,2007813
25,두정동,2007626
26,모종동,2007482
27,문화동,2007683
28,반양리,3358864
29,반월동,3358890
30,방축동,2007347
31,배방읍,2331265
32,백석동,2007580
33,보령시,2330375
34,봉명동,2331285
35,봉황동,3358371
36,부곡리,3359115
37,부대동,1318047
38,부성1동,34298783
39,부성2동,34298793
40,부여군,223154
41,부여읍,2332390
42,부적면,2331245
43,부창동,2331239
44,부춘동,3430238
45,북수리,3358643
46,불당동,3358306
47,사직동,2007696
48,산성동,2039907
49,서북구,2330379
50,서산시,223146
51,서천군,223156
52,석림동,1316960
53,성성동,2007684
54,성정동,2007685
55,성환읍,223160
56,성황동,3358216
57,송악읍,2331196
58,신방동,2331283
59,신부동,2007687
60,신안동,3430227
61,쌍용2동,20076913
62,쌍용동,2007690
63,쌍용동,3358220
64,아산시,223147
65,아인리,3359223
66,영성동,3358217
67,예산군,223158
68,예산읍,2332386
69,오룡동,3358218
70,옥룡동,2331277
71,온양3동,34302393
72,온양5동,34302413
73,온양6동,34302403
74,온천동,223199
75,용곡동,2007620
76,용화동,1315237
77,원성동,2007693
78,유량동,223141
79,읍내동,2007025
80,일봉동,3430236
81,장항읍,223149
82,중동,2039551
83,중학동,2039552
84,직산읍,223164
85,차암동,1321962
86,창소리,3359939
87,채운동,3359085
88,채운면,2331241
89,천안시,223148
90,청당동,2007616
91,청룡동,3430233
92,청수동,3358219
93,청양군,223159
94,취암동,2331240
95,태안군,2330380
96,태안읍,1316688
97,풍기동,2007488
98,홍성군,223151
99,홍성읍,2332387
