,지역명,지역번호
0,가경동,2331375
1,감곡면,2331298
2,강내면,2331329
3,강서1동,34302553
4,강서동,2331372
5,강제동,2000026
6,개신동,3356904
7,괴산군,223129
8,교동,2331341
9,교현동,2331355
10,금가면,2331362
11,금구리,3357524
12,금천동,2331388
13,남문로1가,33568063
14,남문로2가,33568073
15,남주동,3356811
16,내덕동,2331393
17,단양군,223137
18,달천동,2331350
19,대동리,3357762
20,대성동,3356812
21,대소면,2331301
22,대소원면,2331367
23,덕산면,2331317
24,동현동,2331337
25,매하리,3357188
26,모충동,1319328
27,문화동,3356808
28,방서동,3356814
29,보은군,223122
30,보은읍,2332397
31,복대1동,34302523
32,복대2동,23313763
33,복대동,2331377
34,봉명1동,34302493
35,봉명2.송정동,23313733
36,봉명동,2331374
37,봉방동,2331349
38,북문로1가,33568033
39,북문로2가,33568043
40,북문로3가,33568053
41,북이면,2331328
42,분평동,2331369
43,비하동,1809097
44,사직동,2331384
45,사창동,2331382
46,사천동,3357001
47,상당구,2330374
48,서문동,3356810
49,서운동,3356809
50,서원구,3356902
51,석교동,2331395
52,성화.개신.죽림동,3430257
53,송정동,3356942
54,수곡동,2331380
55,수동,2331396
56,신봉동,3356941
57,안림동,1643423
58,영동,3356802
59,영동군,223120
60,영동읍,2332395
61,영운동,2331389
62,영천동,2001498
63,오송읍,1318607
64,옥천군,223132
65,옥천읍,2332396
66,용담동,1809091
67,용암1동,34302513
68,용암2동,23313853
69,용암동,2331387
70,우암동,2331394
71,운천동,2331381
72,율량.사천동,3430244
73,율량동,2331391
74,음성군,223119
75,음성읍,2332392
76,읍내리,3357789
77,의림동,2001337
78,장락동,2001113
79,제천시,223116
80,증평군,2330373
81,증평읍,1321136
82,지현동,2331353
83,진천군,223118
84,진천읍,2332394
85,창동리,3357764
86,청원구,2330372
87,청전동,2331340
88,청주시,223115
89,초중리,3357768
90,초평면,2331316
91,충의동,3357095
92,충인동,3357087
93,충주시,223117
94,칠금.금릉동,3430219
95,칠금동,2331348
96,탑동,2331390
97,향정동,3356957
98,화산동,1999932
99,흥덕구,223114
