,date,smp_max,smp_min,smp_mean,supply,year,month,day,week,dayofweek,weekofyear,temp_max,temp_mean,temp_min
0,2018-02-01,150.65,116.84,132.71,87.47,2018,2,1,5,3,5,6.475,4.346739130434783,2.55
1,2018-02-02,163.86,116.84,134.19,86.64,2018,2,2,5,4,5,5.675000000000001,3.760416666666666,1.975
2,2018-02-03,164.07,116.85,131.39,88.28,2018,2,3,5,5,5,4.025,1.3375000000000001,-0.625
3,2018-02-04,171.0,115.76,131.89,86.14,2018,2,4,5,6,5,0.525,-1.0177083333333332,-2.3
4,2018-02-05,170.34,123.89,137.96,90.63,2018,2,5,6,0,6,1.975,-0.0770833333333333,-1.8
5,2018-02-06,167.99,119.11,140.06,91.18,2018,2,6,6,1,6,0.22499999999999998,-0.9489583333333333,-2.0
6,2018-02-07,141.07,124.11,132.76,90.09,2018,2,7,6,2,6,3.45,0.6135416666666667,-1.425
7,2018-02-08,147.42,116.84,132.91,87.57,2018,2,8,6,3,6,6.725,2.511458333333333,-0.5499999999999999
8,2018-02-09,150.7,116.84,126.95,81.63,2018,2,9,6,4,6,9.7,6.211458333333334,3.125
9,2018-02-10,147.2,116.34,130.1,83.0,2018,2,10,6,5,6,7.8500000000000005,5.911458333333333,3.0
10,2018-02-11,149.81,116.91,127.0,82.75,2018,2,11,6,6,6,4.324999999999999,2.2739583333333333,0.85
11,2018-02-12,167.78,124.68,138.91,89.2,2018,2,12,7,0,7,3.3499999999999996,1.9416666666666669,-0.22499999999999998
12,2018-02-13,146.75,126.95,132.89,85.22,2018,2,13,7,1,7,7.875000000000001,4.839583333333334,2.575
13,2018-02-14,168.73,116.84,132.9,75.44,2018,2,14,7,2,7,13.575000000000001,9.791666666666668,4.775
14,2018-02-15,142.71,116.62,129.99,74.21,2018,2,15,7,3,7,10.65,8.197916666666666,6.025
15,2018-02-16,137.18,51.12,121.13,74.96,2018,2,16,7,4,7,8.725,6.605208333333334,4.425000000000001
16,2018-02-17,152.5,107.61,126.44,78.31,2018,2,17,7,5,7,7.15,4.954166666666667,2.875
17,2018-02-18,148.28,116.91,130.39,73.8,2018,2,18,7,6,7,10.25,6.666666666666666,2.825
18,2018-02-19,151.67,116.84,133.35,77.87,2018,2,19,8,0,8,10.05,7.770833333333333,5.1
19,2018-02-20,145.99,115.16,125.54,76.98,2018,2,20,8,1,8,11.975,8.527083333333334,4.9
20,2018-02-21,167.06,116.84,134.82,81.87,2018,2,21,8,2,8,8.35,6.392708333333334,4.7
21,2018-02-22,165.91,116.84,134.31,84.73,2018,2,22,8,3,8,7.0,4.798530701754387,2.775
22,2018-02-23,143.44,116.84,128.36,80.26,2018,2,23,8,4,8,12.175,7.807291666666667,2.625
23,2018-02-24,148.34,116.63,125.61,73.9,2018,2,24,8,5,8,13.225,9.502083333333333,5.75
24,2018-02-25,144.2,116.36,126.36,74.19,2018,2,25,8,6,8,12.975000000000001,9.955208333333333,7.575000000000001
25,2018-02-26,146.47,116.84,131.38,78.89,2018,2,26,9,0,9,12.6,8.375588768115941,5.1
26,2018-02-27,171.36,116.55,129.76,74.89,2018,2,27,9,1,9,14.45,10.464583333333334,6.125
27,2018-02-28,165.98,115.09,130.85,78.61,2018,2,28,9,2,9,15.85,11.539583333333333,7.05
28,2018-03-01,181.14,119.65,134.24,80.59,2018,3,1,9,3,9,10.975,7.213541666666666,3.525
29,2018-03-02,175.15,120.62,138.56,78.97,2018,3,2,9,4,9,9.575,5.921875,3.1500000000000004
30,2018-03-03,180.97,113.75,133.78,73.19,2018,3,3,9,5,9,15.625,11.282291666666666,6.6
31,2018-03-04,154.19,94.96,128.29,65.1,2018,3,4,9,6,9,19.4,15.831249999999999,12.775
32,2018-03-05,180.0,119.48,135.75,76.46,2018,3,5,10,0,10,18.05,11.480208333333334,7.875
33,2018-03-06,181.06,120.72,134.07,76.67,2018,3,6,10,1,10,10.950000000000001,9.058333333333334,7.450000000000001
34,2018-03-07,180.18,120.76,132.96,77.36,2018,3,7,10,2,10,11.624999999999998,9.871875,8.85
35,2018-03-08,148.79,120.44,128.11,80.75,2018,3,8,10,3,10,9.475,7.570833333333334,5.0
36,2018-03-09,155.29,120.62,137.74,79.37,2018,3,9,10,4,10,8.225,5.833333333333334,3.7
37,2018-03-10,156.42,120.74,130.04,77.53,2018,3,10,10,5,10,11.675,7.872916666666667,4.625
38,2018-03-11,130.54,111.14,124.04,73.95,2018,3,11,10,6,10,12.524999999999999,8.6875,5.075000000000001
39,2018-03-12,130.55,120.47,124.43,74.94,2018,3,12,11,0,11,15.149999999999999,10.91875,6.6499999999999995
40,2018-03-13,128.39,119.18,123.89,70.51,2018,3,13,11,1,11,18.349999999999998,14.064583333333333,9.775
41,2018-03-14,133.16,116.65,125.3,67.13,2018,3,14,11,2,11,19.825,16.272916666666667,12.35
42,2018-03-15,151.53,99.61,132.88,68.89,2018,3,15,11,3,11,18.125,16.089583333333334,12.775
43,2018-03-16,157.06,112.95,131.0,76.17,2018,3,16,11,4,11,13.25,9.983333333333333,8.125
44,2018-03-17,178.47,119.61,143.32,73.2,2018,3,17,11,5,11,13.225,9.497470238095238,6.199999999999999
45,2018-03-18,155.53,119.1,133.31,66.22,2018,3,18,11,6,11,18.45,14.11875,8.275
46,2018-03-19,157.0,108.57,131.33,76.3,2018,3,19,12,0,12,16.0,13.381250000000001,10.075
47,2018-03-20,153.61,118.81,130.42,80.96,2018,3,20,12,1,12,10.725000000000001,8.80625,6.2749999999999995
48,2018-03-21,145.02,118.38,134.24,80.62,2018,3,21,12,2,12,6.875,5.491666666666666,4.15
49,2018-03-22,150.24,120.23,135.83,80.24,2018,3,22,12,3,12,9.775,6.909375,4.6
50,2018-03-23,155.68,120.5,132.32,78.27,2018,3,23,12,4,12,12.975,8.641666666666666,4.8
51,2018-03-24,157.11,116.8,129.99,72.59,2018,3,24,12,5,12,15.624999999999998,11.261956521739132,6.975
52,2018-03-25,159.98,114.86,127.22,69.3,2018,3,25,12,6,12,16.875,12.592708333333333,8.125
53,2018-03-26,155.42,119.19,129.68,71.81,2018,3,26,13,0,13,16.9,13.169956140350877,9.600000000000001
54,2018-03-27,147.7,120.46,125.03,72.05,2018,3,27,13,1,13,17.8,13.695833333333333,9.25
55,2018-03-28,145.45,115.13,129.51,69.04,2018,3,28,13,2,13,18.575000000000003,14.492708333333333,9.549999999999999
56,2018-03-29,170.18,110.7,136.7,68.56,2018,3,29,13,3,13,18.575,15.319791666666667,12.450000000000001
57,2018-03-30,179.64,113.85,133.94,68.84,2018,3,30,13,4,13,18.275,15.119791666666666,13.0
58,2018-03-31,173.16,114.06,135.34,66.5,2018,3,31,13,5,13,19.475,15.69116847826087,12.55
59,2018-04-01,152.84,117.78,129.73,62.66,2018,4,1,13,6,13,20.85,17.86875,14.825
60,2018-04-02,147.17,114.6,128.9,64.46,2018,4,2,14,0,14,21.5,18.495833333333334,16.075000000000003
