날짜,발전기명,최고기온(℃),최저기온(℃),강수량(mm),평균풍속(m/s),평균 전운량(1/10),발전량(kWh)
2021-06-01,광양항광양냉장태양광,28.8,15.4,,0.9,4.9,4.244454
2021-06-02,광양항광양냉장태양광,28.6,17.7,,0.8,7.9,3.248909
2021-06-03,광양항광양냉장태양광,20.6,17.9,22,1.2,9.6,0.72991
2021-06-04,광양항광양냉장태양광,27,16.8,1.5,1.7,7.5,4.507685
2021-06-05,광양항광양냉장태양광,27,14,,1.5,5.8,4.013043
2021-06-06,광양항광양냉장태양광,27.7,17,,1.1,2.5,4.278685
2021-06-07,광양항광양냉장태양광,28.7,16.7,,0.9,4,4.040043
2021-06-08,광양항광양냉장태양광,30.4,18.5,,1.1,5.1,4.194316
2021-06-09,광양항광양냉장태양광,30.8,19,,1.2,4,4.371249
2021-06-10,광양항광양냉장태양광,26.4,19.2,0,1.2,8.9,2.115959
2021-06-11,광양항광양냉장태양광,24.1,19.1,52,1,7.8,1.84116
2021-06-12,광양항광양냉장태양광,28.2,20.6,,1.6,6.6,3.770062
2021-06-13,광양항광양냉장태양광,30.1,21.4,,1,6.5,3.889625
2021-06-14,광양항광양냉장태양광,27.2,20.8,,1.4,7.6,1.88021
2021-06-15,광양항광양냉장태양광,22.3,19.7,19,2.5,7.8,0.686036
2021-06-16,광양항광양냉장태양광,25.4,19.2,0.5,4.2,5.4,2.777408
2021-06-17,광양항광양냉장태양광,26.3,19.2,1.5,1.8,8.9,2.703646
2021-06-18,광양항광양냉장태양광,26,19,2,0.7,9.1,1.633372
2021-06-19,광양항광양냉장태양광,30.2,18.6,,0.7,2.4,4.57566
2021-06-20,광양항광양냉장태양광,30.4,18.5,,1,6.6,4.149963
2021-06-21,광양항광양냉장태양광,31.6,19.9,,1.1,4.9,4.24783
2021-06-22,광양항광양냉장태양광,27.7,19.3,,1.1,5.9,3.604701
2021-06-23,광양항광양냉장태양광,26.4,19.4,0.2,0.9,7,2.528159
2021-06-24,광양항광양냉장태양광,26.9,18.9,,1,7,3.578185
2021-06-25,광양항광양냉장태양광,28.6,18.4,,0.8,7.6,4.028472
2021-06-26,광양항광양냉장태양광,28.3,20.2,0,1,6.9,3.515031
2021-06-27,광양항광양냉장태양광,29.5,19.1,,1.2,4.8,4.015454
2021-06-28,광양항광양냉장태양광,29.2,21.5,0.1,1.6,6.5,3.062332
2021-06-29,광양항광양냉장태양광,28.7,21.3,,0.9,7.6,3.387272
2021-06-30,광양항광양냉장태양광,29.5,21,,1.2,6.7,3.349187
2021-07-01,광양항광양냉장태양광,31.3,19.9,,1.3,3.9,4.222279
2021-07-02,광양항광양냉장태양광,30.5,21.8,,1.1,6.8,3.291333
2021-07-03,광양항광양냉장태양광,25,21.5,45.5,2.3,9.6,0.42811
2021-07-04,광양항광양냉장태양광,28,22.1,9,2.4,8.4,2.781747
2021-07-05,광양항광양냉장태양광,23.1,20.5,57.5,0.5,10,0.521155
2021-07-06,광양항광양냉장태양광,24.1,20.7,206.5,1,10,0.252141
2021-07-07,광양항광양냉장태양광,28.7,22.8,38.5,1.5,9.6,0.987832
2021-07-08,광양항광양냉장태양광,29.7,23,6.6,0.6,9.8,2.019057
2021-07-09,광양항광양냉장태양광,29.7,23,13,1.3,7.5,2.796208
2021-07-10,광양항광양냉장태양광,30.1,22.6,,1.1,5.4,3.091259
2021-07-11,광양항광양냉장태양광,31.9,22.9,0,1.1,5.5,3.279759
2021-07-12,광양항광양냉장태양광,32.6,24.8,,1.1,6.6,3.919998
2021-07-13,광양항광양냉장태양광,32.4,24.9,,1.1,6.4,4.167318
